avg_cpu_util,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,vertical_scaling,horizontal_action,reward
0.0666666666666666,1.0,0.5,0.0,0.5,0.1,-128,0,0
0.0666666666666666,1.0,0.5,0.0,0.5,0.1,0,0,0.5333333333333333
0.0666666666666666,1.0,0.5,0.0,0.5,0.1,0,1,-1
0.0666666666666666,1.0,0.5,0.0,0.5,0.1,128,0,0.5333333333333333
0.0666666666666666,1.0,0.5,0.0,0.5,0.1,0,0,0.5333333333333333
0.0666666666666666,1.0,0.5,0.0,0.5,0.1,-128,0,0.5333333333333333
0.0666666666666666,1.0,0.5,0.0,0.5,0.1,128,0,0.5333333333333333
0.0666666666666666,1.0,0.5,0.0,0.5,0.1,0,1,-1
0.0666666666666666,1.0,0.5,0.0,0.5,0.1,0,0,0.5333333333333333
0.0666666666666666,1.0,0.5,0.0,0.5,0.1,-128,0,0.5333333333333333
0.0666666666666666,1.0,0.5,0.0,0.5,0.1,0,0,0.5333333333333333
0.0666666666666666,1.0,0.5,0.0,0.5,0.1,0,-1,0.537037037037037
0.074074074074074,1.0,0.45,0.0,0.45,0.1,0,-1,0.5416666666666666
0.0833333333333333,1.0,0.4,0.0,0.4,0.1,128,0,0.5416666666666666
0.0833333333333333,1.0,0.4,0.0,0.4,0.1,-128,0,0
0.0833333333333333,1.0,0.4,0.0,0.4,0.1,0,0,0.5416666666666666
0.0833333333333333,1.0,0.4,0.0,0.4,0.1,0,-1,0.5476190476190476
0.0952380952380952,1.0,0.35,0.0,0.35,0.1,0,0,0.5476190476190476
0.0952380952380952,1.0,0.35,0.0,0.35,0.1,128,0,0.5476190476190476
0.0952380952380952,1.0,0.35,0.0,0.35,0.1,0,0,0.5476190476190476
0.0952380952380952,1.0,0.35,0.0,0.35,0.1,0,0,0.5476190476190476
0.0952380952380952,1.0,0.35,0.0,0.35,0.1,0,0,0.5476190476190476
0.0952380952380952,1.0,0.35,0.0,0.35,0.1,0,1,0.5416666666666666
0.0833333333333333,1.0,0.4,0.0,0.4,0.1,0,1,0.537037037037037
0.074074074074074,1.0,0.45,0.0,0.45,0.1,128,0,0.537037037037037
0.074074074074074,1.0,0.45,0.0,0.45,0.1,-128,0,0
0.074074074074074,1.0,0.45,0.0,0.45,0.1,128,0,0.537037037037037
0.074074074074074,1.0,0.45,0.0,0.45,0.1,128,0,0.537037037037037
0.074074074074074,1.0,0.45,0.0,0.45,0.1,-128,0,0
0.074074074074074,1.0,0.45,0.0,0.45,0.1,128,0,0.537037037037037
0.074074074074074,1.0,0.45,0.0,0.45,0.1,0,0,0.537037037037037
0.074074074074074,1.0,0.45,0.0,0.45,0.1,0,1,0.5333333333333333
0.0666666666666666,1.0,0.5,0.0,0.5,0.1,0,0,0.5333333333333333
0.0666666666666666,1.0,0.5,0.0,0.5,0.1,128,0,0.5333333333333333
0.0666666666666666,1.0,0.5,0.0,0.5,0.1,-128,0,0
0.0666666666666666,1.0,0.5,0.0,0.5,0.1,128,0,0.5333333333333333
0.0666666666666666,1.0,0.5,0.0,0.5,0.1,-128,0,0
