avg_cpu_util,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,vertical_scaling,horizontal_action,reward
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,0,180,-1
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,162,0,0.6666666666666666
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,238,0,0.6666666666666666
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,0,209,-1
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,0,231,-1
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,0,102,-1
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,49,0,0.6666666666666666
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,231,0,0.6666666666666666
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,150,0,0.6666666666666666
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,0,216,-1
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,0,151,-1
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,93,0,0.6666666666666666
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,0,122,-1
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,251,0,0.6666666666666666
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,0,23,-1
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,196,0,0.6666666666666666
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,0,249,-1
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,0,71,-1
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,154,0,0.6666666666666666
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,0,154,-1
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,0,128,-1
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,0,63,-1
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,0,166,-1
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,94,0,0.6666666666666666
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,0,0,0.6666666666666666
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,0,42,-1
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,245,0,0.6666666666666666
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,31,0,0.6666666666666666
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,198,0,0.6666666666666666
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,115,0,0.6666666666666666
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,0,64,-1
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,20,0,0.6666666666666666
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,255,0,0.6666666666666666
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,105,0,0.6666666666666666
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,0,17,-1
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,0,203,-1
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,0,54,-1
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,0,180,-1
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,0,93,-1
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,0,63,-1
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,0,57,-1
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,0,203,-1
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,0,207,-1
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,46,0,0.6666666666666666
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,225,0,0.6666666666666666
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,0,144,-1
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,45,0,0.6666666666666666
0.3333333333333333,1.0,0.4,0.0,0.4,0.4,1.0,0,1,0.6481481481481481
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,24,0,0.6481481481481481
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,89,0,0.6481481481481481
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,0,57,-1
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,0,79,-1
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,0,39,-1
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,0,220,-1
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,0,132,-1
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,146,0,0.6481481481481481
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,0,226,-1
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,0,173,-1
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,0,23,-1
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,0,69,-1
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,0,224,-1
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,181,0,0.6481481481481481
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,165,0,0.6481481481481481
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,0,199,-1
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,47,0,0.6481481481481481
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,81,0,0.6481481481481481
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,99,0,0.6481481481481481
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,117,0,0.6481481481481481
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,170,0,0.6481481481481481
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,173,0,0.6481481481481481
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,224,0,0.6481481481481481
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,0,160,-1
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,34,0,0.6481481481481481
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,0,45,-1
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,0,216,-1
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,3,0,0.6481481481481481
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,78,0,0.6481481481481481
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,209,0,0.6481481481481481
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,0,80,-1
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,0,55,-1
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,0,53,-1
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,219,0,0.6481481481481481
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,0,123,-1
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,144,0,0.6481481481481481
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,0,166,-1
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,0,25,-1
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,48,0,0.6481481481481481
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,230,0,0.6481481481481481
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,0,143,-1
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,0,2,-1
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,63,0,0.6481481481481481
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,30,0,0.6481481481481481
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,0,94,-1
0.2962962962962963,1.0,0.45,0.0,0.45,0.4,1.125,0,200,-1
